,cik,companyName,stockSymbol,with10K
114,0001426800,"ASSEMBLY BIOSCIENCES, INC.",asmb,1
115,0000802967,"ASSOCIATED MATERIALS, LLC",side,1
116,0000008497,ASSURANCEAMERICA CORP,asam,1
117,0001690881,"ASV HOLDINGS, INC.",asv,1
118,0000732717,AT&T INC.,t,1
119,0001140486,ATHEROS COMMUNICATIONS INC,,1
120,0000893821,ATTUNITY LTD,attu,0
121,0001172494,AU OPTRONICS CORP,auo,0
122,0001138830,AUTHENTEC INC,auth,1
123,0001182129,AUXILIUM PHARMACEUTICALS INC,auxl,1
124,0001348036,"AVALARA, INC.",avlr,1
125,0000858803,"AVANIR PHARMACEUTICALS, INC.",avnr,1
126,0001116521,AVAYA INC,av,1
127,0001343304,AVEDRO INC,avdr,1
128,0001644963,"AVENUE THERAPEUTICS, INC.",atxi,1
129,0001528903,AVG Technologies N.V.,avg,0
130,0001111632,AVISTAR COMMUNICATIONS CORP,avsr,1
131,0001431888,"AVT, Inc.",avtcq,1
132,0000859163,AVX Corp,avx,1
133,0000727920,AXA EQUITABLE LIFE INSURANCE CO,axa_priv,1
134,0001092492,AXESSTEL INC,axst,1
135,0001514946,"AXIM BIOTECHNOLOGIES, INC.",axim,1
136,0001566265,AXIOM CORP.,axmm,1
137,0000001750,Aar Corp,air,1
138,0000881890,Abaxis Inc,abax,1
139,0001091587,Abb Ltd,abb,0
140,0001551152,AbbVie Inc.,abbv,1
141,0000001800,Abbott Laboratories,abt,1
142,0001018840,Abercrombie & Fitch Co /DE/,anf,1
143,0000815094,Abiomed Inc,abmd,1
144,0000771497,Abm Industries Inc /DE/,abm,1
145,0001070494,Acadia Pharmaceuticals Inc,acad,1
146,0000727207,"Accelerate Diagnostics, Inc",axdx,1
147,0001280600,Acceleron Pharma Inc,xlrn,1
148,0001176316,Access National Corp,ancx,1
149,0000749254,"Access to Money, Inc.",,1
150,0001138723,Accuray Inc,aray,1
151,0000817979,Accuride Corp,acw,1
152,0001301501,Achaogen Inc,akao,1
153,0000935036,"Aci Worldwide, Inc.",aciw,1
154,0001557746,"Aclaris Therapeutics, Inc.",acrs,1
155,0000002098,Acme United Corp,acu,1
156,0001008848,Acorda Therapeutics Inc,acor,1
157,0000884629,"Actavis, Inc.",agn,1
158,0001044435,Active Power Inc,acpw,1
159,0001429896,"Activecare, Inc.",acar,1
160,0000006955,Actuant Corp,atu,1
161,0001144215,Acuity Brands Inc,ayi,1
162,0000786947,"Acura Pharmaceuticals, Inc",acur,1
163,0000733269,Acxiom Corp,acxm,1
164,0001328143,Adamas Pharmaceuticals Inc,adms,1
165,0000865415,Adept Technology Inc,adep,1
166,0000796343,Adobe Systems Inc,adbe,1
167,0000926282,Adtran Inc,adtn,1
168,0001011060,AdvanSource Biomaterials Corp,asnb,1
169,0001669792,"AdvancePierre Foods Holdings, Inc.",apfh,1
170,0000927003,Advanced Energy Industries Inc,aeis,1
171,0000002488,Advanced Micro Devices Inc,amd,1
172,0000352991,Advanced Oxygen Technologies Inc,aoxy,1
173,0000869986,Advanced Photonix Inc,api,1
174,0001002225,Advent Software Inc /DE/,advs,1
175,0001338042,"Aegerion Pharmaceuticals, Inc.",aegr,1
176,0000785787,Aep Industries Inc,aepi,1
177,0001337553,Aerie Pharmaceuticals Inc,aeri,1
178,0001316644,"AeroGrow International, Inc.",aero,1
179,0001368622,AeroVironment Inc,avav,1
180,0001036848,Aerocentury Corp,acy,1
181,0001168213,Aeropostale Inc,aro,1
182,0000874761,Aes Corp,aes,1
183,0001113423,Aeterna Zentaris Inc.,aezs,0
184,0001122304,Aetna Inc /PA/,aet,1
185,0001499268,Affinity Gaming,afft_priv,1
186,0000913077,Affymetrix Inc,affx,1
187,0000880266,Agco Corp /DE,agco,1
188,0001708599,"AgeX Therapeutics, Inc.",,1
189,0001098972,Agenus Inc,agen,1
190,0001090872,Agilent Technologies Inc,a,1
191,0001439222,Agios Pharmaceuticals Inc,agio,1
192,0001631650,"Aimmune Therapeutics, Inc.",aimt,1
193,0000816159,Air Methods Corp,airm,1
194,0000002969,Air Products & Chemicals Inc /DE/,apd,1
195,0001403720,"AirTouch Communications, Inc.",atch,1
196,0000804212,Airgas Inc,arg,1
197,0001311523,Ajax Tocco Magnethermic CORP,,0
198,0001086222,Akamai Technologies Inc,akam,1
199,0001321834,Akers Biosciences Inc,aker,1
200,0000003116,Akorn Inc,akrx,1
201,0000897077,Alamo Group Inc,alg,1
202,0000819793,Albany International Corp /DE/,ain,1
203,0001065087,Albany Molecular Research Inc,amri,1
204,0000915913,Albemarle Corp,alb,1
205,0001368457,Alberto-Culver CO,,1
206,0001145460,Alere Inc.,alr,1
207,0001545654,"Alexander & Baldwin, Inc.",alex,1
208,0000003499,Alexanders Inc,alx,1
209,0001035443,Alexandria Real Estate Equities Inc,are,1
210,0000899866,Alexion Pharmaceuticals Inc,alxn,1
211,0000003545,Alico Inc,alco,1
212,0001097149,Align Technology Inc,algn,1
213,0001267602,Alimera Sciences Inc,alim,1
214,1734520,Alithya Group Inc,,0
215,0001362468,Allegiant Travel CO,algt,1
216,0000850693,Allergan Inc,agn,1
217,0000066756,Allete Inc,ale,1
218,0001101215,Alliance Data Systems Corp,ads,1
219,0000817135,"Alliance HealthCare Services, Inc",aiq,1
220,0000352541,Alliant Energy Corp,lnt,1
221,0001054274,"Alliqua BioMedical, Inc.",alqa,1
222,0000003982,Allis Chalmers Energy Inc.,aly,1
223,0001411207,Allison Transmission Holdings Inc,alsn,1
224,0001124804,"Allscripts Healthcare Solutions, Inc.",mdrx,1
225,0000040729,Ally Financial Inc.,ally,1
226,0000799231,Almost Family Inc,afam,1
227,0001178670,"Alnylam Pharmaceuticals, Inc.",alny,1
228,0001301063,"Alpha Natural Resources, Inc.",anr,1
229,0000884269,Alpha Pro Tech Ltd,apt,1
230,1652044,Alphabet Inc.,goog,1
231,0001518403,"Alta Mesa Holdings, LP",altamh,1
232,0001695519,AltaGas Ltd.,,0
233,0001701732,Altair Engineering Inc.,ALTR,1
234,0000768251,Altera Corp,altr,1
235,0000104777,"Alteva, Inc.",altv,1
236,0000764180,"Altria Group, Inc.",mo,1
237,0000792977,Amag Pharmaceuticals Inc.,amag,1
238,0000897448,Amarin Corp Plc\Uk,amrn,1
239,0000020639,Ambase Corp,abcp,1
240,0001162315,Ambassadors Group Inc,epax,1
241,0001002910,Ameren Corp,aee,1
242,0001488139,"Ameresco, Inc.",amrc,1
243,0000006201,American Airlines Group Inc.,aal,1
244,0001336545,"American Apparel, Inc",app,1
245,0001062231,American Axle & Manufacturing Holdings Inc,axl,1
246,0000896747,American Bio Medica Corp,abmc,1
247,0001579823,"American Brewing Company, Inc.",abrw,1
248,0001297735,American Casino & Entertainment Properties LLC,amece_priv,1
249,0000919012,American Eagle Outfitters Inc,aeo,1
250,0000004904,American Electric Power Co Inc,aep,1
251,0000004962,American Express Co,axp,1
252,0001042046,American Financial Group Inc,afg,1
253,0000005133,American Greetings Corp,am_priv,1
254,0001562401,American Homes 4 Rent,amh,1
255,0000005272,American International Group Inc,aig,1
256,0001344596,"American Railcar Industries, Inc.",arii,1
257,0001410997,"American Realty Capital Trust, Inc.",arct,1
258,0001614106,"American Renaissance Capital, Inc.",arcp_priv,1
259,0001498068,"American Renal Associates Holdings, Inc.",ara,1
260,0001525040,"American Renal Associates Holdings, Inc.",,1
261,0000277905,"American Retail Group, Inc.",argb,1
262,cr54973,"American Savings Bank, FSB",,0
263,0000005768,"American Science & Engineering, Inc.",asei,1
264,0000744825,American Shared Hospital Services,ams,1
265,0000713425,American Software Inc,amswa,1
266,0000880807,American Superconductor Corp /DE/,amsc,1
267,0001323891,"American Tire Distributors Holdings, Inc.",atd.n,1
268,0001053507,American Tower Corp /MA/,amt,1
269,0001410636,"American Water Works Company, Inc.",awk,1
270,0000794619,American Woodmark Corp,amwd,1
271,0000820027,Ameriprise Financial Inc,amp,1
272,0000351569,Ameris Bancorp,abcb,1
273,0001018979,Amerisafe Inc,amsf,1
274,0000707605,Ameriserv Financial Inc /PA/,asrv,1
275,0001140859,Amerisourcebergen Corp,abc,1
276,0001037868,Ametek Inc/,ame,1
277,0000318154,Amgen Inc,amgn,1
278,0001178879,Amicus Therapeutics Inc,fold,1
279,0001167905,"Amincor, Inc.",amncb,1
280,0001723128,"Amneal Pharmaceuticals, Inc.",amrx,1
281,0000006176,Ampco Pittsburgh Corp,ap,1
282,0001297184,"Amphastar Pharmaceuticals, Inc.",amph,1
283,0000820313,Amphenol Corp /DE/,aph,1
284,0001640313,"Amplify Snack Brands, INC",betr,1
285,0000006207,Amrep Corp.,axr,1
286,0000895930,Amsurg Corp,amsg,1
287,0000720500,Amtech Systems Inc,asys,1
288,0001365555,"Amtrust Financial Services, Inc.",afsi,1
289,0001365916,"Amyris, Inc.",amrs,1
290,0001411158,"Anacor Pharmaceuticals, Inc.",anac,1
291,0000773910,Anadarko Petroleum Corp,apc,1
292,0000940332,Anadigics Inc,anad,1
293,0000006281,Analog Devices Inc,adi,1
294,0000006284,Analogic Corp,alog,1
295,0001540755,"Anaplan, Inc.",plan,1
296,0001448301,Anchor Bancorp,ancb,1
297,0000821026,"Andersons, Inc.",ande,1
298,0001491778,"Angie's List, Inc.",angi,1
299,0001275187,Angiodynamics Inc,ango,1
300,0001668717,Anheuser-Busch InBev SA/NV,bud,0
301,0000898437,"Anika Therapeutics, Inc.",anik,1
302,0001043219,Annaly Capital Management Inc,nly,1
303,0001431897,"Annie's, Inc.",bnny,1
304,0001013462,Ansys Inc,anss,1
305,0001156039,"Anthem, Inc.",antm,1
306,0001316175,Anthera Pharmaceuticals Inc,anth,1
307,8271,Apacer Technology Inc. (宇瞻科技),,0
308,0000006769,Apache Corp,apa,1
309,1733418,Aphria Inc.,,0
310,0001324772,Apigee Corp,apic,1
311,0000006845,"Apogee Enterprises, Inc.",apog,1
312,0000320193,Apple Inc,aapl,1
313,0000862861,Appliance Recycling Centers Of America Inc /MN,arci,1
314,0000744452,Applied Dna Sciences Inc,apdn,1
315,0000109563,Applied Industrial Technologies Inc,ait,1
316,0000006951,Applied Materials Inc /DE,amat,1
317,0000711065,Applied Micro Circuits Corp,amcc,1
318,0001158114,"Applied Optoelectronics, Inc.",aaoi,1
319,0001419625,Apptio Inc,apti,1
320,0001444570,Aptalis Pharma Inc,,1
321,0000896622,Aptargroup Inc,atr,1
322,0001603978,"AquaBounty Technologies, Inc.",aqb,1
323,0001422841,AquaVenture Holdings Ltd,waas,1
324,0001398733,"Aquestive Therapeutics, Inc.",aqst,1
325,0001013238,Aradigm Corp,ardm,1
326,0001584509,Aramark,armk,1
327,0001509190,"Aratana Therapeutics, Inc.",petx,1
328,0001469443,"Arcadia Biosciences, Inc.",rkda,1
329,0001243429,ArcelorMittal,mt,0
330,0001037676,Arch Coal Inc,aci,1
331,0000007084,Archer Daniels Midland Co,adm,1
332,0001470699,"Archipelago Learning, Inc.",,1
333,0000719866,Arctic Cat Inc,acat,1
334,0001080709,Arena Pharmaceuticals Inc,arna,1
335,0001091748,"Argo Group International Holdings, Ltd.",agii,1
336,0000879796,Ari Network Services Inc /Wi,aris,1
337,0000884731,Ariad Pharmaceuticals Inc,aria,1
338,0001596532,"Arista Networks, Inc.",anet,1
339,0001736946,"Arlo Technologies, Inc.",arlo,1
340,0001655075,"Armstrong Flooring, Inc.",afi,1
341,0000007431,Armstrong World Industries Inc,awi,1
342,0001019695,Arqule Inc,arql,1
343,0001100412,Array Biopharma Inc,arry,1
344,0000819689,Arrhythmia Research Technology Inc /DE/,hrt,1
345,0001141107,Arris Group Inc,arrs,1
346,0000007536,Arrow Electronics Inc,arw,1
347,0000879407,Arrowhead Research Corp,arwr,1
348,0001419178,Artio Global Investors Inc.,art,1
349,0001173752,"Aruba Networks, Inc.",arun,1
350,0001432967,"As Seen On TV, Inc.",astv,1
351,0001144980,Asbury Automotive Group Inc,abg,1
352,0001350102,"Ascent Solar Technologies, Inc.",asti,1
353,0001604738,Ashford Inc,ainc,1
354,0001305014,Ashland Inc.,ash,1
355,0001506545,"Aspect Software Parent, Inc.",aspt,1
356,0000929940,Aspen Technology Inc /DE/,azpn,1
357,0000007789,Associated Banc-Corp,asb,1
358,cr917742,"Associated Bank, N.A.",,0
359,0000911635,Associated Estates Realty Corp,aec,1
